TID: [2025-05-08 11:15:18,238]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2025-05-08 11:15:33,721] []  INFO {org.wso2.carbon.core.transports.http.HttpsTransportListener} - HTTPS port       : 9444
TID: [] [] [2025-05-08 11:15:33,785] []  INFO {org.apache.tomcat.util.net.NioEndpoint.certificate} - Connector [https-jsse-nio-9443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [/Users/samindu/Workspace/intergration-project/wso2-is/repository/resources/security/wso2carbon.p12] using alias [wso2carbon] with trust store [/Users/samindu/Workspace/intergration-project/wso2-is/repository/resources/security/client-truststore.p12]
TID: [] [] [2025-05-08 11:15:33,807] []  INFO {org.wso2.identity.apps.common.internal.AppsCommonServiceStartupObserver} - My Account URL : https://localhost:9444/myaccount
TID: [] [] [2025-05-08 11:15:33,808] []  INFO {org.wso2.identity.apps.common.internal.AppsCommonServiceStartupObserver} - Console URL : https://localhost:9444/console
TID: [] [] [2025-05-08 11:15:33,808] []  INFO {org.wso2.carbon.core.internal.StartupFinalizerServiceComponent} - Server           :  WSO2 Identity Server-7.1.0
TID: [] [] [2025-05-08 11:15:33,808] []  INFO {org.wso2.carbon.core.internal.StartupFinalizerServiceComponent} - WSO2 Carbon started in 15 sec
TID: [] [] [2025-05-08 11:15:33,816] []  INFO {org.wso2.carbon.healthcheck.api.core.internal.HealthMonitorServiceComponent} - Carbon health monitoring service is activated..
TID: [] [] [2025-05-08 11:39:11,785] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Shutdown hook triggered....
TID: [] [] [2025-05-08 11:39:11,787] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Gracefully shutting down WSO2 Identity Server...
TID: [] [] [2025-05-08 11:39:11,789] []  INFO {org.wso2.carbon.core.ServerManagement} - Starting to switch to maintenance mode...
TID: [] [] [2025-05-08 11:39:11,791] []  INFO {org.wso2.carbon.core.ServerManagement} - Stopped all transport listeners
TID: [] [] [2025-05-08 11:39:11,791] []  INFO {org.wso2.carbon.core.ServerManagement} - Waiting for request service completion...
TID: [] [] [2025-05-08 11:39:11,794] []  INFO {org.wso2.carbon.core.ServerManagement} - All requests have been served.
TID: [] [] [2025-05-08 11:39:11,794] []  INFO {org.wso2.carbon.core.ServerManagement} - Waiting for deployment completion...
TID: [] [] [2025-05-08 11:39:11,820] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/api/health-check/v1.0]
TID: [] [] [2025-05-08 11:39:11,824] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/myaccount]
TID: [] [] [2025-05-08 11:39:11,830] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/scim2]
TID: [] [] [2025-05-08 11:39:11,849] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/authenticationendpoint]
TID: [] [] [2025-05-08 11:39:11,873] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/api]
TID: [] [] [2025-05-08 11:39:11,875] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/mex]
TID: [] [] [2025-05-08 11:39:11,877] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/wso2]
TID: [] [] [2025-05-08 11:39:11,878] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/mexut]
TID: [] [] [2025-05-08 11:39:11,884] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/accountrecoveryendpoint]
TID: [] [] [2025-05-08 11:39:11,886] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/console]
TID: [] [] [2025-05-08 11:39:11,891] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/oauth2]
TID: [] [] [2025-05-08 11:39:11,899] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/x509certificateauthenticationendpoint]
TID: [] [] [2025-05-08 11:39:11,899] []  INFO {org.wso2.carbon.core.ServerManagement} - All deployment tasks have been completed.
TID: [] [] [2025-05-08 11:39:11,899] []  INFO {org.wso2.carbon.core.ServerManagement} - Waiting for server task completion...
TID: [] [] [2025-05-08 11:39:11,900] []  INFO {org.wso2.carbon.core.ServerManagement} - All server tasks have been completed.
TID: [] [] [2025-05-08 11:39:11,900] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Shutting down WSO2 Identity Server...
TID: [] [] [2025-05-08 11:39:11,900] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Shutting down OSGi framework...
TID: [] [] [2025-05-08 11:39:11,908] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Stopping CarbonServerManager...
TID: [] [] [2025-05-08 11:39:11,909] []  INFO {org.apache.axis2.transport.mail.MailTransportSender} - MAILTO Sender Shutdown
TID: [] [] [2025-05-08 11:39:12,044] []  INFO {org.wso2.carbon.tomcat.ext.internal.CarbonTomcatServiceComponent} - Stopping the carbon web-app registered under : /
TID: [-1234] [] [2025-05-08 11:39:12,307]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Shutdown complete 
TID: [-1234] [] [2025-05-08 11:39:12,308]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Halting JVM 
TID: [] [] [2025-05-08 11:39:25,948] []  INFO {org.ops4j.pax.logging.spi.support.EventAdminConfigurationNotifier} - Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
TID: [] [] [2025-05-08 11:39:26,034] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2025-05-08 11:39:26,034] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Mac OS X 15.4.1, aarch64
TID: [] [] [2025-05-08 11:39:26,034] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /Library/Java/JavaVirtualMachines/temurin-21.jdk/Contents/Home
TID: [] [] [2025-05-08 11:39:26,034] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 21.0.7
TID: [] [] [2025-05-08 11:39:26,034] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 21.0.7+6-LTS,Eclipse Adoptium
TID: [] [] [2025-05-08 11:39:26,034] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /Users/samindu/Workspace/intergration-project/wso2-is
TID: [] [] [2025-05-08 11:39:26,034] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /Users/samindu/Workspace/intergration-project/wso2-is/tmp
TID: [] [] [2025-05-08 11:39:26,034] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : samindu, en-LK, Asia/Colombo
TID: [] [] [2025-05-08 11:39:27,611] []  INFO {org.apache.jasper.servlet.TldScanner} - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
TID: [] [] [2025-05-08 11:39:28,172] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 22ms
TID: [] [] [2025-05-08 11:39:28,179] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 1ms
TID: [] [] [2025-05-08 11:39:28,179] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 2ms
TID: [] [] [2025-05-08 11:39:28,191] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 0ms
TID: [] [] [2025-05-08 11:39:28,191] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 0ms
TID: [] [] [2025-05-08 11:39:28,192] []  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [] [] [2025-05-08 11:39:28,979] []  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [] [] [2025-05-08 11:39:29,056] []  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
TID: [] [] [2025-05-08 11:39:29,207] []  INFO {org.apache.axis2.transport.mail.MailTransportSender} - MAILTO Sender started
TID: [] [] [2025-05-08 11:39:29,945] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Repository       : /Users/samindu/Workspace/intergration-project/wso2-is/repository/deployment/server/
TID: [] [] [2025-05-08 11:39:29,956] []  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [] [] [2025-05-08 11:39:29,959] []  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [] [] [2025-05-08 11:39:30,022] []  INFO {org.wso2.carbon.is.migration.internal.ISMigrationServiceComponent} - org.wso2.carbon.identity.core is 7.8.23.4 - Proceeding with service binding.
TID: [] [] [2025-05-08 11:39:30,022] []  INFO {org.wso2.carbon.is.migration.internal.ISMigrationServiceComponent} - Successfully registered Certificate Management Service.
TID: [] [] [2025-05-08 11:39:30,022] []  INFO {org.wso2.carbon.is.migration.internal.ISMigrationServiceComponent} - Successfully registered Secret Manager Service.
TID: [] [] [2025-05-08 11:39:30,022] []  INFO {org.wso2.carbon.is.migration.internal.ISMigrationServiceComponent} - Successfully registered Secret Resolve Manager Service.
TID: [] [] [2025-05-08 11:39:31,188] []  WARN {org.wso2.carbon.identity.auth.service.internal.AuthenticationServiceComponent} - 

##################################  ALERT  ##################################
[WARNING]: Internal authentication is utilizing default credentials,
which may expose the environment to potential security risks.
If this is a production environment, change the credentials immediately.
#############################################################################

TID: [] [] [2025-05-08 11:39:31,556] []  INFO {org.wso2.carbon.identity.authenticator.x509Certificate.internal.X509CertificateServiceComponent} - X509 Certificate Servlet activated successfully..
TID: [] [] [2025-05-08 11:39:31,869] []  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore} - Thread pool size for temporary authentication context data delete task: 20
TID: [] [] [2025-05-08 11:39:31,962] []  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - The default OAuth token issuer will be used. No custom token generator is set.
TID: [] [] [2025-05-08 11:39:31,962] []  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - An instance of org.wso2.carbon.identity.oauth2.token.OauthTokenIssuerImpl is created for Identity OAuth token generation.
TID: [] [] [2025-05-08 11:39:31,973] []  INFO {org.opensaml.core.config.InitializationService} - Initializing OpenSAML using the Java Services API
TID: [] [] [2025-05-08 11:39:32,828] []  INFO {org.wso2.carbon.healthcheck.api.core.internal.HealthMonitorServiceComponent} - Carbon health monitoring service is activated..
TID: [] [] [2025-05-08 11:39:34,911] []  INFO {org.hibernate.validator.internal.util.Version} - HV000001: Hibernate Validator 6.2.0.Final
TID: [] [] [2025-05-08 11:39:39,386] []  INFO {org.wso2.carbon.core.transports.http.HttpTransportListener} - HTTP port        : 9764
TID: [] [] [2025-05-08 11:39:39,387] []  INFO {org.wso2.carbon.core.transports.http.HttpsTransportListener} - HTTPS port       : 9444
TID: [] [] [2025-05-08 11:39:39,463] []  INFO {org.apache.tomcat.util.net.NioEndpoint.certificate} - Connector [https-jsse-nio-9443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [/Users/samindu/Workspace/intergration-project/wso2-is/repository/resources/security/wso2carbon.p12] using alias [wso2carbon] with trust store [/Users/samindu/Workspace/intergration-project/wso2-is/repository/resources/security/client-truststore.p12]
TID: [] [] [2025-05-08 11:39:39,483] []  INFO {org.wso2.identity.apps.common.internal.AppsCommonServiceStartupObserver} - My Account URL : https://localhost:9444/myaccount
TID: [] [] [2025-05-08 11:39:39,483] []  INFO {org.wso2.identity.apps.common.internal.AppsCommonServiceStartupObserver} - Console URL : https://localhost:9444/console
TID: [] [] [2025-05-08 11:39:39,484] []  INFO {org.wso2.carbon.core.internal.StartupFinalizerServiceComponent} - Server           :  WSO2 Identity Server-7.1.0
TID: [] [] [2025-05-08 11:39:39,484] []  INFO {org.wso2.carbon.core.internal.StartupFinalizerServiceComponent} - WSO2 Carbon started in 15 sec
TID: [] [] [2025-05-08 11:55:01,738] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Shutdown hook triggered....
TID: [] [] [2025-05-08 11:55:01,740] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Gracefully shutting down WSO2 Identity Server...
TID: [] [] [2025-05-08 11:55:01,742] []  INFO {org.wso2.carbon.core.ServerManagement} - Starting to switch to maintenance mode...
TID: [] [] [2025-05-08 11:55:01,743] []  INFO {org.wso2.carbon.core.ServerManagement} - Stopped all transport listeners
TID: [] [] [2025-05-08 11:55:01,743] []  INFO {org.wso2.carbon.core.ServerManagement} - Waiting for request service completion...
TID: [] [] [2025-05-08 11:55:01,745] []  INFO {org.wso2.carbon.core.ServerManagement} - All requests have been served.
TID: [] [] [2025-05-08 11:55:01,746] []  INFO {org.wso2.carbon.core.ServerManagement} - Waiting for deployment completion...
TID: [] [] [2025-05-08 11:55:01,769] []  INFO {org.wso2.carbon.webapp.mgt.WebApplication} - Unloaded webapp: StandardEngine[Catalina].StandardHost[localhost].StandardContext[/api/health-check/v1.0]
